date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2015-02-26 12:00:00,-0.01144,1.1349,-0.00067,-0.92054,-0.01023,27.67132,1.14024,1.12956,-3.39563
2015-02-26 16:00:00,-0.0064,1.1334,-0.00179,-1.56867,-0.01702,20.81089,1.14172,1.12508,-3.35672
2015-02-26 20:00:00,0.00032,1.13189,-0.00263,-0.54005,-0.01654,21.88679,1.14217,1.12161,-2.36182
2015-02-27 00:00:00,0.00064,1.13026,-0.0032,0.08576,-0.01688,24.17609,1.1419,1.11862,-1.69582
2015-02-27 04:00:00,0.00108,1.12892,-0.00353,0.15361,-0.00436,28.12568,1.14145,1.11639,-1.18948
2015-02-27 08:00:00,0.00062,1.1275,-0.00369,0.15173,0.00266,30.43695,1.14063,1.11437,-0.82427
2015-02-27 12:00:00,0.0005,1.12616,-0.00374,0.09987,0.00284,32.38524,1.13974,1.11258,-0.5258
2015-02-27 16:00:00,-0.00316,1.12445,-0.00399,-0.23706,-0.00096,27.06268,1.13887,1.11003,-0.69619
2015-02-27 20:00:00,0.00014,1.12278,-0.00412,-0.26902,-0.0019,27.64804,1.13779,1.10777,-0.42781
2015-03-02 00:00:00,-0.00234,1.12078,-0.00437,-0.19653,-0.00486,24.06175,1.13652,1.10504,-0.45113
2015-03-02 04:00:00,0.001,1.12002,-0.00444,-0.11969,-0.00436,28.46756,1.13612,1.10392,-0.22232
2015-03-02 08:00:00,0.00338,1.12024,-0.00417,0.39204,0.00218,41.26531,1.13619,1.10429,0.17178
2015-03-02 12:00:00,0.00069,1.12049,-0.00385,0.36397,0.00273,43.55585,1.1361,1.10488,0.23186
2015-03-02 16:00:00,-0.00459,1.12022,-0.00393,-0.34771,0.00048,33.81016,1.13544,1.105,-0.32987
2015-03-02 20:00:00,0.00053,1.1199,-0.0039,-0.36176,1e-05,35.65724,1.13472,1.10508,-0.22404
2015-03-03 00:00:00,0.00108,1.11962,-0.00375,0.14404,-0.00229,39.48102,1.13349,1.10575,-0.04325
2015-03-03 04:00:00,0.00042,1.11934,-0.00355,0.13414,-0.00256,40.99617,1.13198,1.1067,0.06328
2015-03-03 08:00:00,-0.00257,1.11911,-0.00356,-0.19208,-0.00054,35.03293,1.1302,1.10802,-0.34996
2015-03-03 12:00:00,-0.00021,1.11885,-0.00355,-0.24827,-0.00128,34.5763,1.12777,1.10993,-0.42373
2015-03-03 16:00:00,0.00313,1.11914,-0.00325,0.26137,0.00077,46.19131,1.12357,1.11471,0.42926
2015-03-03 20:00:00,-0.00257,1.11907,-0.00318,0.05014,-0.00222,39.75264,1.12266,1.11548,-0.86463
2015-03-04 00:00:00,0.00033,1.11869,-0.00306,-0.19998,0.00068,40.92743,1.12235,1.11503,-0.45845
2015-03-04 04:00:00,-0.00095,1.11815,-0.00301,-0.05548,-6e-05,38.52457,1.12199,1.11431,-0.65186
2015-03-04 08:00:00,-0.00388,1.11768,-0.00325,-0.43208,-0.00707,30.41989,1.1224,1.11296,-1.9757
2015-03-04 12:00:00,0.00038,1.1172,-0.00337,-0.31337,-0.00412,31.97715,1.12237,1.11203,-1.4702
2015-03-04 16:00:00,-0.00616,1.11599,-0.00391,-0.51931,-0.01061,22.79007,1.12297,1.10901,-2.50813
2015-03-04 20:00:00,0.00043,1.11478,-0.00426,-0.51464,-0.00923,24.47307,1.12273,1.10683,-1.78941
2015-03-05 00:00:00,-0.00059,1.11377,-0.00453,-0.01445,-0.00594,23.68595,1.12279,1.10475,-1.48364
2015-03-05 04:00:00,-0.00157,1.11263,-0.00482,-0.195,-0.00789,21.62911,1.12275,1.10251,-1.40754
2015-03-05 08:00:00,-0.00189,1.11098,-0.00514,-0.31253,-0.00362,19.37828,1.12242,1.09954,-1.28679
2015-03-05 12:00:00,-0.00021,1.10957,-0.00535,-0.18996,-0.00426,19.13248,1.12202,1.09712,-0.98957
2015-03-05 16:00:00,-0.00171,1.10796,-0.00559,-0.17397,-0.00538,17.16279,1.12112,1.0948,-0.95147
2015-03-05 20:00:00,0.00121,1.10656,-0.00561,-0.04531,-0.0026,23.36571,1.11979,1.09333,-0.55175
2015-03-06 00:00:00,-0.00029,1.10552,-0.00559,0.08351,-0.001,22.90889,1.11918,1.09186,-0.42464
2015-03-06 04:00:00,-0.00042,1.1044,-0.00555,-0.06438,-0.00121,22.21013,1.1183,1.0905,-0.31659
2015-03-06 08:00:00,-0.00549,1.10334,-0.00589,-0.536,-0.00499,15.39165,1.11798,1.0887,-0.9059
2015-03-06 12:00:00,-0.00716,1.10153,-0.00666,-1.1477,-0.01336,10.65261,1.11792,1.08514,-1.46227
2015-03-06 16:00:00,-0.00404,1.09937,-0.00751,-1.02124,-0.01711,8.92902,1.11805,1.08069,-1.48424
2015-03-06 20:00:00,-0.00118,1.09726,-0.00818,-0.4791,-0.01787,8.48355,1.11773,1.07679,-1.26327
2015-03-09 00:00:00,-0.00029,1.0953,-0.00864,-0.13542,-0.01267,8.36953,1.11649,1.07411,-1.06274
2015-03-09 04:00:00,0.0001,1.09337,-0.00889,-0.01752,-0.00541,8.83897,1.11504,1.0717,-0.85171
2015-03-09 08:00:00,0.005,1.09212,-0.00859,0.47046,0.00363,29.03653,1.11302,1.07122,-0.28523
2015-03-09 12:00:00,-0.00328,1.09041,-0.00852,0.15865,0.00153,24.99934,1.11063,1.07019,-0.45002
2015-03-09 16:00:00,4e-05,1.08874,-0.00836,-0.29748,0.00186,25.14037,1.10849,1.06899,-0.28762
2015-03-09 20:00:00,-0.00072,1.08704,-0.0082,-0.06262,0.00104,24.22914,1.10591,1.06817,-0.19718
2015-03-10 00:00:00,-0.00215,1.08567,-0.00815,-0.2643,-0.00611,21.62814,1.10453,1.06681,-0.27997
2015-03-10 04:00:00,-0.00326,1.08469,-0.00828,-0.49853,-0.00609,18.31561,1.10358,1.0658,-0.52101
2015-03-10 08:00:00,-0.00442,1.08367,-0.00864,-0.70912,-0.01055,14.88191,1.10294,1.0644,-0.86341
2015-03-10 12:00:00,0.00149,1.08292,-0.0087,-0.27135,-0.00834,20.46675,1.10208,1.06376,-0.63476
2015-03-10 16:00:00,-0.00495,1.08171,-0.00905,-0.32176,-0.01114,16.47628,1.1014,1.06202,-0.99759
2015-03-10 20:00:00,-0.00404,1.08008,-0.00954,-0.83485,-0.01192,14.00079,1.10051,1.05965,-1.19736
2015-03-11 00:00:00,0.00258,1.07821,-0.00961,-0.13621,-0.00492,22.28589,1.0986,1.05782,-0.76315
2015-03-11 04:00:00,-0.00161,1.07651,-0.00968,0.09084,-0.00802,20.89044,1.09634,1.05668,-0.77542
2015-03-11 08:00:00,-0.00863,1.07393,-0.01032,-0.95662,-0.0117,15.21596,1.09421,1.05365,-1.35527
2015-03-11 12:00:00,-0.00013,1.07142,-0.01071,-0.8196,-0.00779,15.14709,1.09132,1.05152,-1.14157
2015-03-11 16:00:00,-0.00694,1.06843,-0.01145,-0.66686,-0.01731,11.94136,1.08977,1.04709,-1.43503
2015-03-11 20:00:00,0.00132,1.0659,-0.01179,-0.53016,-0.01438,15.71134,1.08864,1.04316,-1.00798
2015-03-12 00:00:00,-0.00122,1.06369,-0.01202,0.0095,-0.00697,15.04968,1.08791,1.03947,-0.86452
2015-03-12 04:00:00,-0.0003,1.06129,-0.01209,-0.14415,-0.00714,14.87848,1.08665,1.03593,-0.66008
2015-03-12 08:00:00,0.00704,1.0601,-0.01144,0.63994,0.00684,34.35061,1.08536,1.03484,-0.01108
2015-03-12 12:00:00,0.00142,1.05945,-0.01069,0.80348,0.00694,37.55219,1.08425,1.03465,0.15566
